,molecule_chembl_id,IC50,smiles,pIC50
154,CHEMBL5205063,1.0,CNC(=O)[C@@H](CC(=O)[C@H](CC(C)C)[C@H](CSc1cccs1)C(=O)NO)Cc1ccccc1,9.0
155,CHEMBL5274327,1.06,CN(C)c1ccc(-c2cn(-c3ccc(S(=O)(=O)NC(Cc4ccccc4)C(=O)NO)cc3)nn2)cc1,8.97469413473523
156,CHEMBL1801057,1.1,COc1ccc(Oc2ccc(S(=O)(=O)C3(C(=O)NO)CCN(Cc4ccccn4)CC3)cc2)cc1,8.958607314841775
157,CHEMBL2043424,1.1,C[C@@H]1OC(C)(C)O[C@H]1C(CS(=O)(=O)c1ccc(Oc2ccc(OC(F)(F)F)cc2)cc1)N(O)C=O,8.958607314841775
158,CHEMBL2385442,1.1,O=C(Nc1ccc(S(=O)(=O)N[C@H](Cc2c[nH]c3ccccc23)C(=O)O)cc1)c1ccc(I)cc1,8.958607314841775
159,CHEMBL2043425,1.1,CCC1(CC)OC[C@H](C(CS(=O)(=O)c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)N(O)C=O)O1,8.958607314841775
160,CHEMBL7108,1.1,COc1ccc(S(=O)(=O)N2CN(C(C)(C)C)C(=O)C[C@@H]2C(=O)NO)cc1,8.958607314841775
161,CHEMBL76757,1.1,CSc1ccc(-c2ccc(S(=O)(=O)CC(CN3C(=O)NC(C)(C)C3=O)N(O)C=O)cc2)cc1,8.958607314841775
162,CHEMBL399029,1.1,C[C@@H]1CN([C@@H](CN(c2ccc(Oc3ccc(C(F)(F)F)cc3)cc2)S(C)(=O)=O)C(=O)NO)C[C@H](C)O1,8.958607314841775
163,CHEMBL1812922,1.1,O=C1NC(=O)C(c2ccc(Oc3ccccc3)cc2)(N2CCCN(CC3CC3)CC2)C(=O)N1,8.958607314841775
